severity,code,mock_test,mock_test_id,question_id,question_name,section,subsection,affected_session_count,affected_sessions,problem,manual_fix
error,missing_question_skill_max,Hitha Test 01,9a2bce04-addb-48f8-8a76-45aa2d15a52c,1,Passage 1: Technology and Society,Speaking,read_aloud,0,,"Trait 'content' awards listening, but the question listening maximum is zero.",Set Question.listening_score_max to the intended maximum.
error,missing_question_skill_max,Hitha Test 01,9a2bce04-addb-48f8-8a76-45aa2d15a52c,3,Road bicycle racing,Speaking,read_aloud,0,,"Trait 'content' awards listening, but the question listening maximum is zero.",Set Question.listening_score_max to the intended maximum.
error,missing_question_skill_max,6452,24c00576-2b51-4a2e-907a-8911d701ee49,5,RA6452-1,Speaking,read_aloud,0,,"Trait 'content' awards listening, but the question listening maximum is zero.",Set Question.listening_score_max to the intended maximum.
error,missing_question_skill_max,Athira,4f429037-9d6d-4dd2-a4c2-72c02541d4f2,10,RA - Q1 - ATHIRA,Speaking,read_aloud,0,,"Trait 'content' awards listening, but the question listening maximum is zero.",Set Question.listening_score_max to the intended maximum.
error,missing_question_skill_max,Bindu_T1,60feaac2-6cc7-4855-a7fc-3af6a9cb8a67,23,RA Q1- BB,Speaking,read_aloud,1,Bindu [25e5ed0e-29b0-443a-93d1-50718d8c38b0],"Trait 'content' awards listening, but the question listening maximum is zero.",Set Question.listening_score_max to the intended maximum.
error,invalid_answer_key,6452,24c00576-2b51-4a2e-907a-8911d701ee49,30,ROP6452-1,Reading,reorder_paragraphs,0,,Question 30 needs at least two ordered paragraphs.,Correct the answer metadata described in the problem column.
error,invalid_answer_key,Athira,4f429037-9d6d-4dd2-a4c2-72c02541d4f2,31,L-FIB-Q1-ATHIRA,Listening,l_fill_in_blanks,0,,Question 31 has no configured correct text answers.,Add each missing word to ordered SubQuestion.correct_answer rows.
error,invalid_answer_key,Athira,4f429037-9d6d-4dd2-a4c2-72c02541d4f2,38,L-HIW-Q1-ATHIRA,Listening,highlight_incorrect_words,0,,Question 38 needs incorrect words or a reference transcript.,Set Question.correct_answer to the accurate transcript or pipe-separated incorrect words.
error,missing_question_skill_max,Bindu_T1,60feaac2-6cc7-4855-a7fc-3af6a9cb8a67,47,RA Q2 - BB,Speaking,read_aloud,1,Bindu [25e5ed0e-29b0-443a-93d1-50718d8c38b0],"Trait 'content' awards listening, but the question listening maximum is zero.",Set Question.listening_score_max to the intended maximum.
error,missing_question_skill_max,Bindu_T1,60feaac2-6cc7-4855-a7fc-3af6a9cb8a67,54,RA Q3 - BB,Speaking,read_aloud,1,Bindu [25e5ed0e-29b0-443a-93d1-50718d8c38b0],"Trait 'content' awards listening, but the question listening maximum is zero.",Set Question.listening_score_max to the intended maximum.
error,missing_question_skill_max,Salini,a0440e31-adfc-414c-89f7-692996cb5632,58,RA 1 SALINI,Speaking,read_aloud,0,,"Trait 'content' awards listening, but the question listening maximum is zero.",Set Question.listening_score_max to the intended maximum.
error,invalid_answer_key,Salini,a0440e31-adfc-414c-89f7-692996cb5632,76,LFIB 1 SALINI,Listening,l_fill_in_blanks,0,,Question 76 has no configured correct text answers.,Add each missing word to ordered SubQuestion.correct_answer rows.
error,missing_question_skill_max,Hitha Test 01,9a2bce04-addb-48f8-8a76-45aa2d15a52c,102,Hitha-Speaking -Read Aloud- Environment,Speaking,read_aloud,0,,"Trait 'content' awards listening, but the question listening maximum is zero.",Set Question.listening_score_max to the intended maximum.
error,missing_question_skill_max,Hitha Test 01,9a2bce04-addb-48f8-8a76-45aa2d15a52c,103,Hitha-Speaking -Read Aloud- Education,Speaking,read_aloud,0,,"Trait 'content' awards listening, but the question listening maximum is zero.",Set Question.listening_score_max to the intended maximum.
error,missing_question_skill_max,Hitha Test 01,9a2bce04-addb-48f8-8a76-45aa2d15a52c,104,Hitha-Speaking -Read Aloud- Technology,Speaking,read_aloud,0,,"Trait 'content' awards listening, but the question listening maximum is zero.",Set Question.listening_score_max to the intended maximum.
error,missing_question_skill_max,Hitha Test 01,9a2bce04-addb-48f8-8a76-45aa2d15a52c,105,Hitha-Speaking -Read Aloud- Economics,Speaking,read_aloud,0,,"Trait 'content' awards listening, but the question listening maximum is zero.",Set Question.listening_score_max to the intended maximum.
error,missing_question_skill_max,Hitha Test 01,9a2bce04-addb-48f8-8a76-45aa2d15a52c,106,Hitha-Speaking -Read Aloud- Health Science,Speaking,read_aloud,0,,"Trait 'content' awards listening, but the question listening maximum is zero.",Set Question.listening_score_max to the intended maximum.
error,missing_question_skill_max,Hitha Test 01,9a2bce04-addb-48f8-8a76-45aa2d15a52c,110,Hitha-Speaking -Read Aloud- Psychology,Speaking,read_aloud,0,,"Trait 'content' awards listening, but the question listening maximum is zero.",Set Question.listening_score_max to the intended maximum.
error,missing_question_skill_max,Athira,4f429037-9d6d-4dd2-a4c2-72c02541d4f2,112,RA - Q2 - ATHIRA,Speaking,read_aloud,0,,"Trait 'content' awards listening, but the question listening maximum is zero.",Set Question.listening_score_max to the intended maximum.
